|   G1 |   G2 |   G3 |   G4 |   G5 |   S1 |   S2 |
|------+------+------+------+------+------+------|
|    0 |    0 |    0 |    0 |    0 |    0 |    0 |
|    0 |    0 |    0 |    0 |    1 |    0 |    1 |
|    0 |    0 |    0 |    1 |    0 |    0 |    0 |
|    0 |    0 |    0 |    1 |    1 |    0 |    1 |
|    0 |    0 |    1 |    0 |    0 |    0 |    0 |
|    0 |    0 |    1 |    0 |    1 |    0 |    1 |
|    0 |    0 |    1 |    1 |    0 |    0 |    0 |
|    0 |    0 |    1 |    1 |    1 |    0 |    0 |
|    0 |    1 |    0 |    0 |    0 |    1 |    1 |
|    0 |    1 |    0 |    0 |    1 |    1 |    1 |
|    0 |    1 |    0 |    1 |    0 |    1 |    1 |
|    0 |    1 |    0 |    1 |    1 |    1 |    1 |
|    0 |    1 |    1 |    0 |    0 |    1 |    1 |
|    0 |    1 |    1 |    0 |    1 |    1 |    1 |
|    0 |    1 |    1 |    1 |    0 |    0 |    0 |
|    0 |    1 |    1 |    1 |    1 |    0 |    0 |
|    1 |    0 |    0 |    0 |    0 |    0 |    0 |
|    1 |    0 |    0 |    0 |    1 |    0 |    1 |
|    1 |    0 |    0 |    1 |    0 |    0 |    0 |
|    1 |    0 |    0 |    1 |    1 |    0 |    1 |
|    1 |    0 |    1 |    0 |    0 |    1 |    0 |
|    1 |    0 |    1 |    0 |    1 |    1 |    1 |
|    1 |    0 |    1 |    1 |    0 |    1 |    0 |
|    1 |    0 |    1 |    1 |    1 |    1 |    0 |
|    1 |    1 |    0 |    0 |    0 |    1 |    1 |
|    1 |    1 |    0 |    0 |    1 |    1 |    1 |
|    1 |    1 |    0 |    1 |    0 |    1 |    1 |
|    1 |    1 |    0 |    1 |    1 |    1 |    1 |
|    1 |    1 |    1 |    0 |    0 |    1 |    1 |
|    1 |    1 |    1 |    0 |    1 |    1 |    1 |
|    1 |    1 |    1 |    1 |    0 |    1 |    0 |
|    1 |    1 |    1 |    1 |    1 |    1 |    0 |
